Location,Latitude,Longitude,Date,Parameter,Sample Fraction,Value,Unit,Organization
Crosswicks C at Crosswicks NJ,40.16,-74.65528,2016-07-13,Phosphate-phosphorus,Total,0.104,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Crosswicks C at Crosswicks NJ,40.16,-74.65528,2016-04-06,Phosphate-phosphorus,Total,0.0553,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Delaware River Morisville Transect 11.5,40.2189,-74.7744,2016-11-02,Phosphorus,Total,0.075,mg/L,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION
Delaware River at Trenton,40.22032,-74.7777,2016-07-12,Ammonia-nitrogen,Total,0.0117,mg/L,Delaware River Basin Commission
SB3,40.358549,-74.691108,2016-06-17,Nitrate,Dissolved,1.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River Morisville Transect 11.5,40.2189,-74.7744,2016-08-23,Orthophosphate,Total,0.089,mg/L,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION
Harrys Brook,40.359046,-74.638738,2016-06-08,Orthophosphate,Dissolved,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-05-17,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.0821,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2016-06-07,Kjeldahl nitrogen,Total,0.332,mg/L,Delaware River Basin Commission
BACK CREEK AT HAMILTON TOWNSHIP,40.192159,-74.665349,2016-12-01,Ammonia-nitrogen,Dissolved,0.033,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Harrys Brook,40.359046,-74.638738,2016-07-15,Nitrate,Dissolved,1.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Millstone River,40.321958,-74.607731,2016-10-15,Nitrate,Dissolved,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2016-10-15,Nitrate,Dissolved,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB4,40.33175,-74.77833,2016-08-20,Orthophosphate,Dissolved,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BACK CREEK AT YARDVILLE-HAMILTON SQUARE ROAD,40.192195,-74.665327,2016-08-01,Kjeldahl nitrogen,Total,0.535,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BD4,40.384418,-74.740618,2016-03-19,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
CL3,40.33097,-74.6542,2016-04-17,Nitrate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Titus Mill Road,40.349373,-74.782116,2016-10-13,Kjeldahl nitrogen,Total,0.311,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
CL3,40.33097,-74.6542,2016-05-15,Nitrate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Titus Mill Road,40.349373,-74.782116,2016-10-13,Phosphate-phosphorus,Dissolved,0.0281,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Harrys Brook,40.359046,-74.638738,2016-03-18,Orthophosphate,Dissolved,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BACK CREEK AT YARDVILLE-HAMILTON SQUARE ROAD,40.192195,-74.665327,2016-08-01,Phosphate-phosphorus,Total,0.0578,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BACK CREEK AT YARDVILLE-HAMILTON SQUARE ROAD,40.192195,-74.665327,2016-08-01,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.323,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BD4,40.384418,-74.740618,2016-07-23,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
CL3,40.33097,-74.6542,2016-03-18,Nitrate,Dissolved,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
